2016-01-28,20
2016-03-09,28
2016-03-12,27
2016-04-02,28
2016-04-06,27
2016-04-16,28
2016-04-23,26
2016-05-14,28
2016-05-22,28
2016-05-28,27
2016-06-08,27
2016-06-18,27
2016-06-27,28
2016-07-05,26
2016-07-11,27
2016-07-16,27
2016-07-26,28
2016-07-30,27
2016-08-10,27
2016-08-13,27
2016-08-22,28
2016-08-28,27
2016-09-17,27
2016-09-24,27
2016-10-09,29
2016-10-12,28
2016-10-15,27
2016-11-19,28
2016-11-27,27
2016-12-06,29
2016-12-11,28
2017-01-07,27
2017-02-25,27
2017-03-06,28
2017-03-09,27
2017-03-18,28
2017-04-03,27
2017-04-11,27
2017-04-22,29
2017-04-29,26
2017-05-13,27
2017-05-20,28
2017-05-27,28
2017-06-05,27
2017-06-17,28
2017-06-24,27
2017-07-10,28
2017-07-15,27
2017-07-22,28
2017-07-29,28
2017-08-04,27
2017-08-07,28
2017-08-19,28
2017-08-26,27
2017-09-09,27
2017-09-12,27
2017-09-16,27
2017-09-23,28
2017-09-30,28
2017-10-14,28
2017-10-21,27
2017-10-28,28
2017-11-02,28
2017-11-11,27
2017-11-18,27
2017-11-25,27
2017-12-08,27
2018-01-20,26
2018-01-27,28
2018-02-17,27
2018-02-24,27
2018-03-02,29
2018-03-03,28
2018-03-17,28
2018-06-01,28
2018-10-02,29
2018-10-03,27
